# Time(s) Distance(km)
7.002399406765158055e+05 6.131357516433020830e+08
7.020400433517767815e+05 6.131683389047862291e+08
7.038401460270377574e+05 6.132009191924191713e+08
7.056402487022987334e+05 6.132334924988660812e+08
7.074403513775597094e+05 6.132660588167917728e+08
7.092404540528206853e+05 6.132986181388608217e+08
7.110405567280816613e+05 6.133311704577366114e+08
7.128406594033426372e+05 6.133637157660830021e+08
7.146407620786036132e+05 6.133962540565634966e+08
7.164408647538645891e+05 6.134287853218412399e+08
7.182409674291254487e+05 6.134613095545799732e+08
7.200410701043864246e+05 6.134938267474429607e+08
7.218411727796474006e+05 6.135263368930941820e+08
7.236412754549083766e+05 6.135588399841976166e+08
7.254413781301693525e+05 6.135913360134178400e+08
7.272414808054303285e+05 6.136238249734201431e+08
7.290415834806913044e+05 6.136563068568702936e+08
7.308416861559522804e+05 6.136887816564348936e+08
7.326417888312132563e+05 6.137212493647813797e+08
7.344418915064742323e+05 6.137537099745780230e+08
7.362419941817352083e+05 6.137861634784946442e+08
7.380420968569961842e+05 6.138186098692021370e+08
7.398421995322570438e+05 6.138510491393725872e+08
7.416423022075180197e+05 6.138834812816792727e+08
7.434424048827789957e+05 6.139159062887978554e+08
7.452425075580399716e+05 6.139483241534047127e+08
7.470426102333009476e+05 6.139807348681788445e+08
7.488427129085619235e+05 6.140131384258005619e+08
7.506428155838228995e+05 6.140455348189529181e+08
7.524429182590838755e+05 6.140779240403201580e+08
7.542430209343448514e+05 6.141103060825899839e+08
7.560431236096058274e+05 6.141426809384510517e+08
7.578432262848668033e+05 6.141750486005960703e+08
7.596433289601277793e+05 6.142074090617192984e+08
7.614434316353886388e+05 6.142397623145183325e+08
7.632435343106496148e+05 6.142721083516935110e+08
7.650436369859105907e+05 6.143044471659480333e+08
7.668437396611715667e+05 6.143367787499884367e+08
7.686438423364325427e+05 6.143691030965245962e+08
7.704439450116935186e+05 6.144014201982697248e+08
7.722440476869544946e+05 6.144337300479403734e+08
7.740441503622154705e+05 6.144660326382569075e+08
7.758442530374764465e+05 6.144983279619433880e+08
7.776443557127374224e+05 6.145306160117282867e+08
7.794444583879983984e+05 6.145628967803432941e+08
